,labels,lenths,contents
204,4,119,（ 提示 语 ： 兄弟姐妹 网上 买手机 收到 手机 第一 时间 激活 激活 退换货 仔仔细细 查看 手机 摄像头 灰尘 后盖 屏幕 边框 贴紧 度 缝隙 手机 有没有 划伤 ） 三天 亲身经历 灰心丧气 购物 四千 八买 苹果 月 31 日刚 收到 手机 那一刻 激动 万分 激活 试 通话 刷 QQ 微信 八个 小时 没电 玩游戏 第二天 仔细 看才 发现 摄像头 进 灰尘 后盖 好像 偏小 盖 完 边框 凸出来 刮手 买个 手机 壳 朋友 安慰 说 恭喜 买 国产 苹果 申请 退换 朋友 说 不信 试 月 日 早上 接到 电话 说 检测 换 朋友 说 检测 员 检测 天 真的 集后 一丝丝 希望 破灭 泡汤 两个 月 工资 买 教训 两天 心情 此时此刻 平复 心情 差 特别 差 欲哭无泪
205,3,11,卡 手机信号 格 ！ ！ ！ 听筒 声音 不知 假 ！
206,1,18,一段时间 手机信号 很差 相机 前 视像 头 黑屏 问 客服 人理 无语 从没 见过 差评 一颗 心 不想
207,2,36,刚买 完 不到 七天 降价 二百多 京东 打电话 申请 返 差价 同意 理由 买 贵 两百多 半年 碎 屏险 赠品 返 差价 n 解释 满意 激活 退货 买 京东 手机 套路 买 完 价格 降级 满意
208,5,3,质量 不错 正品
209,5,3,不错 送货 很快
210,1,8,下单 降 00 商家 手机套 贴模 包装 简单
211,2,19,收到 手机 正品 唯一 好奇 边缘 框 缝隙 很大 东西 告诉 ？ ？ ？ 翻新 机图 玫瑰 金 8p
212,1,6,买贵 不到 半个 月 降 200
213,5,26,百分百 原装 正品 快递 哥特 拿到 家里 慢慢 查 未 签收 前 查询 未激活 手机 品控 不错 一向 信赖 苹果 希望 三年 本命年 特地 买 红色
214,5,10,不错 ！ 续航 不好 ！ ！ ！ ！ ！ ！
215,3,9,一般般 想象 中 刚用 真的 烦 点 东西 小卡
216,2,5,手机 听筒 声音 太小 听不见
217,1,1,发票
218,1,68,第一次 差评 收到 货是 退换货 选择 退货 换货 收到 依旧 拆封 机 打开 耳机 鼓出来 屏幕 灰 指纹 未激活 想 退货 客服 告诉 我换 货机 支持 天无 理由 退换 先用 只能 激活 发现 屏幕 一条 灰 （ 屏幕 坏点 ） 关键 这时候 手机 设置 不想 浪费时间 顺便 治下 强迫症 n n 京东 满意 花 全新 价格 两台 机器 二手 京东 只能 买 首发 顺便 理由 安慰 贪便宜 ～
219,5,9,伤心 中降 几百 价保 一周 销售 旺季 降价 价保
220,5,3,京东 质量 服务
221,1,40,第一次 激活 时到 选 网络 死机 ！ 看错 死机 ！ 有录 视频 可惜 传不上 重启 激活 神奇 事情 发生 前屏 缝里 毛 ！ 沾 拽 半天 几根 拽 不动 发现 是从 ！ 问 客服 说 装机 质量 激活 退换 ！
222,3,6,买 第二天 降价 200 我晕 ！
223,3,13,手感 不错 感觉 卡 苹果 用户 手机 好像 发卡 情况 要少 价格 贵
224,1,10,完 电话 打电话 声音 显示 没法 打电话 感觉 买到 假货
225,3,41,799 买 说贵 不贵 苹果 越来越 贫庸 不见 新 系统 多块 手机 新 多任务 还卡 开钉 钉 卡 强制 关机 关不了 屏幕 小黑点 拿到 维修 报废 感觉 换 估计 换 刚刚 买 换个 官 换机 七天 没整 安卓 系统 苹果 办法
226,1,50,京东 买 东西 要特 仔细 买 钢化 膜 贴 先用 手机 包装纸 激活 可到 贴膜 有个 划痕 气 要死 客服 人员 说 元 � 黄渌 � 办法 看着 划痕 感觉 用过 退回来 京东 发 激活 退 真让人 语 买 东西 睁大眼睛 好好 买 东西 打死 不到 京东 真 不想 说
227,2,20,物流 太慢 预计 号 到货 推迟 四天 点 雪 韵达 申通 送货 包装 太过 简陋 对此 满意 手机 暂未 发现
228,2,12,发货 速度 太慢 五天 买 说 13 号 发货 推迟 比较慢 贵
229,1,8,差评 买 两天 降价 客服 说 正面 回答
230,3,8,手机 卡 百度 为啥 浏览 记录 总体 满意
